編號	經名	總卷數	作譯者	千字文首	千字文首冊數	千字文尾	千字文尾冊數
0680	佛說分別善惡所起經	1	安世高 譯	敬	5	敬	5
0681	佛說出家緣經	1	安世高 譯	敬	6	敬	6
0682	佛說阿含正行經	1	安世高 譯	敬	6	敬	6
0683	佛說十八泥犁經	1	安世高 譯	敬	6	敬	6
0684	佛說法受塵經	1	安世高 譯	敬	6	敬	6
0685	佛說進學經	1	沮渠京聲 譯	敬	6	敬	6
0686	佛說得道梯登錫杖經	1	失譯人名附東晉錄	敬	6	敬	6
0687	佛說貧窮老公經	1	慧簡 譯	敬	6	敬	6
0688	須摩提長者經	1	支謙 譯	敬	7	敬	7
0689	長者懊惱三處經	1	安世高 譯	敬	7	敬	7
0690	犍陀國王經	1	安世高 譯	敬	7	敬	7
0691	阿難四事經	1	支謙 譯	敬	7	敬	7
0692	分別經	1	竺法護 譯	敬	8	敬	8
0693	未生怨經	1	支謙 譯	敬	8	敬	8
0694	四願經	1	支謙 譯	敬	8	敬	8
0695	猘狗經	1	支謙 譯	敬	8	敬	8
0696	八關齋經	1	沮渠京聲 譯	敬	9	敬	9
0697	孝子經	1	失譯人名附西晉錄	敬	9	敬	9
0698	黑氏梵志經	1	支謙 譯	敬	9	敬	9
0699	阿鳩留經	1	失譯人名附後漢錄	敬	9	敬	9
0700	佛為阿支羅迦葉自化作苦經	1	失譯人名	敬	9	敬	9
0701	佛說罪業報應教化地獄經	1	安世高 譯	敬	9	敬	9
0703	佛說長者音悅經	1	支謙 譯	敬	9	敬	9
0704	佛說七女經	1	支謙 譯	敬	10	敬	10
0705	佛說八師經	1	支謙 譯	敬	10	敬	10
0706	佛說越難經	1	聶承遠 譯	敬	10	敬	10
0707	佛說所欲致患經	1	竺法護 譯	敬	10	敬	10
0708	阿闍世王問五逆經	1	法炬 譯	敬	10	敬	10
0709	本事經	7	玄奘 譯	孝	1	孝	7
0710	佛說中心經	1	曇無蘭 譯	孝	8	孝	8
0711	佛說見正經	1	曇無蘭 充譯	孝	8	孝	8
0712	佛說大魚事經	1	曇無蘭 譯	孝	8	孝	8
0713	佛說阿難七夢經	1	曇無蘭 譯	孝	8	孝	8
0714	佛說呵雕阿那含經	1	曇無蘭 譯	孝	8	孝	8
0715	佛說燈指因緣經	1	鳩摩羅什 譯	孝	8	孝	8
0716	佛說婦人遇辜經	1	聖堅 譯	孝	9	孝	9
0717	佛說四天王經	1	智嚴共寶雲 譯	孝	9	孝	9
0718	佛說摩訶迦葉度貧母經	1	求那跋陀羅 譯	孝	9	孝	9
0719	佛說禪行三十七品經	1	安世高 譯	孝	9	孝	9
0720	比丘避女惡名欲自殺經	1	法炬 譯	孝	9	孝	9
0721	佛說身觀經	1	竺法護 譯	孝	9	孝	9
0722	佛說無常經	1	義淨 譯	孝	9	孝	9
0723	佛說八無暇有暇經	1	義淨 譯	孝	9	孝	9
0724	五百弟子自說本起經	1	竺法護 譯	孝	10	孝	10
0725	佛說五苦章句經	1	曇無蘭 譯	當	1	當	1
0726	佛說堅意經	1	安世高 譯	當	1	當	1
0727	佛說淨飯王般涅盤經	1	沮渠京聲 譯	當	1	當	1
0728	佛說興起行經	2	康孟詳 譯	當	2	當	3
0729	長爪梵志請問經	1	義淨 譯	當	4	當	4
0730	佛說譬喻經	1	義淨 譯	當	4	當	4
0731	佛說比丘聽施經	1	曇無蘭 譯	當	4	當	4
0732	佛說略教誡經	1	義淨 譯	當	4	當	4
0733	佛說療痔病經	1	義淨 譯	當	4	當	4
0735	佛說十二品生死經	1	求那跋陀羅 譯	當	5	當	5
0736	佛說輪轉五道罪福報應經	1	求那跋陀羅 譯	當	5	當	5
0737	佛說五無返復經	1	沮渠京聲 譯	當	5	當	5
0738	佛說佛大僧大經	1	沮渠京聲 譯	當	5	當	5
0739	佛說大迦葉本經	1	竺法護 譯	當	6	當	6
0740	佛說四自侵經	1	竺法護 譯	當	6	當	6
0741	佛說羅雲忍辱經	1	法炬 譯	當	6	當	6
0742	佛為年少比丘說正事經	1	法炬 譯	當	6	當	6
0743	佛說沙曷比丘功德經	1	法炬 譯	當	6	當	6
0744	佛說時非時經	1	若羅嚴 譯	當	6	當	6
0745	佛說自愛經	1	曇無蘭 譯	當	6	當	6
0746	佛說賢者五福德經	1	白法祖 譯	當	7	當	7
0748	佛說護淨經	1	失譯人名附東晉錄	當	7	當	7
0749	佛說木槵經	1	失譯人名附東晉錄	當	7	當	7
0750	佛說無上處經	1	失譯人名附東晉錄	當	7	當	7
0751	盧至長者因緣經	1	失譯人名附東晉錄	當	7	當	7
0752	佛說普達王經	1	失譯人名附西晉錄	當	8	當	8
0753	佛說鬼子母經	1	失譯人名附西晉錄	當	8	當	8
0754	佛說梵摩難國王經	1	失譯人名附西晉錄	當	8	當	8
0755	佛說孫多耶致經	1	支謙 譯	當	8	當	8
0756	佛說父母恩重難報經	1	安世高 譯	當	8	當	8
0757	佛說新歲經	1	曇無蘭 譯	當	8	當	8
0758	佛說群牛譬經	1	法炬 譯	當	8	當	8
0759	佛說九橫經	1	安世高 譯	當	8	當	8
0760	佛說五恐怖世經	1	沮渠京聲 譯	當	9	當	9
0761	佛說弟子死復生經	1	沮渠京聲 譯	當	9	當	9
0762	佛說懈怠耕者經	1	沮渠京聲 譯	當	9	當	9
0763	佛說辯意長者子所問經	1	法場 譯	當	9	當	9
0764	無垢優婆夷問經	1	般若流支 譯	當	9	當	9
0765	佛說耶祇經	1	沮渠京聲 譯	當	10	當	10
0766	佛說末羅王經	1	沮渠京聲 譯	當	10	當	10
0768	佛說旃陀越國王經	1	沮渠京聲 譯	當	10	當	10
0769	佛說五王經	1	失譯人名附東晉錄	當	10	當	10
0770	佛說出家功德經	1	失譯人名附三秦錄	當	10	當	10
0771	佛說栴檀樹經	1	失譯人名附後漢錄	當	10	當	10
0772	佛說頞多和多耆經	1	失譯人名附西晉錄	當	10	當	10
0773	禪秘要法經	3	鳩摩羅什 等譯	竭	1	竭	3
0774	陰持入經		安世高 譯	竭	4	竭	4
0775	佛說因緣僧護經	1	失譯人名附東晉錄	竭	5	竭	5
0776	佛說大乘莊嚴寶王經	4	天息灾 譯	竭	6	竭	9
0777	分別善惡報應經		天息灾 譯	竭	10	竭	10
0778	佛說守護大千國王經	3	施護 譯	力	1	力	3
0779	大方廣總持寶光明經	5	法天 譯	力	4	力	8
0780	佛說大乘聖無量壽決定光明王如來陀羅尼經	1	法天 譯	力	9	力	9
0781	佛說大乘聖吉祥持世陀羅尼經	1	法天 譯	力	9	力	9
0782	佛說大乘日子王所問經	1	法天 譯	力	10	力	10
0783	佛說金耀童子經	1	天息灾 譯	力	10	力	10
0784	佛頂放無垢光明入普門觀察一切如來心陀羅尼經		施護 譯	忠	1	忠	1
0785	佛說樓閣正法甘露鼓經	1	天息灾 譯	忠	1	忠	1
0786	佛說大乘善見變化文殊師利問法經	1	天息灾 譯	忠	1	忠	1
0787	聖虛空藏菩薩陀羅尼經	1	法天 譯	忠	2	忠	2
0788	佛說大護明大陀羅尼經	1	法天 譯	忠	2	忠	2
0789	佛說無能勝幡王如來莊嚴陀羅尼經	1	施護 譯	忠	3	忠	3
0790	最勝佛頂陀羅尼經	1	法天 譯	忠	3	忠	3
0791	聖佛母小字般若波羅蜜多經	1	天息灾 譯	忠	3	忠	3
0792	消除一切閃電障難隨求如意陀羅尼經	1	施護 譯	忠	3	忠	3
0793	聖最上燈明如來陀羅尼經	1	施護 譯	忠	3	忠	3
0794	大寒林聖難拿陀羅尼經	1	法天 譯	忠	4	忠	4
0795	佛說諸行有為經	1	法天 譯	忠	4	忠	4
0796	息除中夭陀羅尼經	1	施護 譯	忠	4	忠	4
0797	一切如來正法秘密篋印心陀羅尼經	1	施護 譯	忠	4	忠	4
0798	妙法聖念處經	8	法天 譯	忠	5	忠	8
0800	嗟襪曩法天子受三歸依獲免惡道經	1	法天 譯	則	1	則	1
0801	佛說較量壽命經	1	天息灾 譯	則	1	則	1
0802	佛說沙彌十戒儀則經	1	施護 譯	則	2	則	2
0803	佛說聖持世陀羅尼經	1	施護 譯	則	2	則	2
0804	佛說布施經	1	法天 譯	則	2	則	2
0805	佛說聖曜母陀羅尼經	1	法天 譯	則	2	則	2
0806	法集名數經	1	施護 譯	則	3	則	3
0807	聖多羅菩薩一百八名陀羅尼經	1	法天 譯	則	3	則	3
0808	十二緣生祥瑞經		施護 譯	則	4	則	4
0809	贊揚聖德多羅菩薩一百八名經	1	天息灾 譯	則	5	則	5
0810	聖觀自在菩薩一百八名經	1	天息灾 譯	則	5	則	5
0811	佛說目連所問經	1	法天 譯	則	5	則	5
0812	外道問聖大乘法無我義經	1	法天 譯	則	5	則	5
0813	毗俱胝菩薩一百八名經	1	法天 譯	則	5	則	5
0814	勝軍化世百喻伽陀經	1	天息灾 譯	則	6	則	6
0815	六道伽陀經	1	法天 譯	則	6	則	6
0816	妙臂菩薩所問經	4	法天 譯	則	7	則	8
0817	佛說苾刍五法經	1	法天 譯	則	9	則	9
0818	佛說苾刍迦尸迦十法經	1	法天 譯	則	9	則	9
0819	諸佛心印陀羅尼經	1	法天 譯	則	9	則	9
0820	大乘寶月童子問法經	1	施護 譯	則	9	則	9
0821	佛說蓮華眼陀羅尼經	1	施護 譯	則	9	則	9
0822	佛說觀想佛母般若波羅蜜多菩薩經	1	天息灾 譯	則	9	則	9
0823	佛說如意摩尼陀羅尼經	1	施護 譯	則	9	則	9
0824	佛說聖大總持王經	1	施護 譯	則	10	則	10
0825	佛說最上意陀羅尼經	1	施護 譯	則	10	則	10
0826	佛說持明藏八大總持王經	1	施護 譯	則	10	則	10
0827	聖無能勝金剛火陀羅尼經	1	法天 譯	則	10	則	10
0828	佛說尊勝大明正經	1	施護 譯	則	10	則	10
0829	佛說智光滅一切業障陀羅尼經	1	施護 譯	則	10	則	10
0831	佛說大自在天子因地經	1	施護 譯	盡	1	盡	1
0832	佛說寶生陀羅尼經	1	施護 譯	盡	1	盡	1
0833	佛說十號經	1	天息灾 譯	盡	1	盡	1
0834	佛為娑伽羅龍王所說大乘法經	1	施護 譯	盡	1	盡	1
0835	佛說普賢菩薩陀羅尼經	1	法天 譯	盡	2	盡	2
0836	大金剛妙高山樓閣陀羅尼經	1	施護 譯	盡	2	盡	2
0837	廣大蓮華莊嚴曼拿羅滅一切罪陀羅尼經	1	施護 譯	盡	2	盡	2
0838	佛說大摩里支菩薩經	7	天息灾 譯	盡	3	盡	6
0839	佛說末利支提婆華鬘經	1	不空 譯	盡	7	盡	7
0840	佛說摩利支天經	1	不空 譯	盡	7	盡	7
0841	佛說摩利支天陀羅尼咒經	1	失譯人名附梁錄	盡	8	盡	8
0842	佛說長者施報經	1	法天 譯	盡	8	盡	8
0843	佛說毗沙門天王經	1	法天 譯	盡	8	盡	8
0844	毗婆尸佛經		法天 譯	盡	9	盡	9
0845	佛說大三摩惹經	1	法天 譯	盡	10	盡	10
0846	佛說月光菩薩經	1	法天 譯	盡	10	盡	10
0847	佛說普賢曼拿羅經	1	施護 譯	盡	10	盡	10
0848	佛說聖莊嚴陀羅尼經		施護 譯	命	1	命	1
0849	佛說聖六字大明王陀羅尼經	1	施護 譯	命	1	命	1
0850	千轉大明陀羅尼經	1	施護 譯	命	1	命	1
0851	佛說華積樓閣陀羅尼經	1	施護 譯	命	1	命	1
0852	佛說勝幡瓔珞陀羅尼經	1	施護 譯	命	1	命	1
0854	佛說七佛經	1	法天 譯	命	9	命	9
0855	佛說解憂經	1	法天 譯	命	9	命	9
0856	佛說遍照般若波羅蜜經	1	施護 譯	命	9	命	9
0857	佛說大乘無量壽莊嚴經		法賢 譯	命	10	命	10
0858	佛母寶德藏般若波羅蜜經		法賢 譯	臨	1	臨	1
0859	佛說帝釋般若波羅蜜多心經	1	施護 譯	臨	2	臨	2
0860	佛說諸佛經	1	施護 譯	臨	2	臨	2
0861	大乘舍黎娑擔摩經	1	施護 譯	臨	2	臨	2
0862	佛說大金剛香陀羅尼經	1	施護 譯	臨	2	臨	2
0863	最上大乘金剛大教寶王經		法天 譯	臨	3	臨	3
0864	佛說薩鉢多酥哩逾捺野經	1	法賢 譯	臨	4	臨	4
0865	佛說一切如來烏瑟膩沙最勝總持經	1	法天 譯	臨	4	臨	4
0866	菩提心觀釋	1	法天 譯	臨	4	臨	4
0867	佛說護國尊者所問大乘經	4	施護 譯	臨	5	臨	6
0868	佛說四無所畏經	1	施護 譯	臨	7	臨	7
0869	增慧陀羅尼經	1	施護 譯	臨	7	臨	7
0870	聖六字增壽大明陀羅尼經	1	施護 譯	臨	7	臨	7
0871	佛說大乘戒經	1	施護 譯	臨	7	臨	7
0872	佛說聖最勝陀羅尼經	1	施護 譯	臨	7	臨	7
0873	佛說五十頌聖般若波羅蜜經	1	施護 譯	臨	7	臨	7
0874	大乘八大曼拿羅經	1	法賢 譯	臨	7	臨	7
0875	佛說較量一切佛剎功德經	1	法賢 譯	臨	7	臨	7
0876	囉嚩拿說救療小兒疾病經	1	法賢 譯	臨	7	臨	7
0877	迦葉仙人說醫女人經	1	法賢 譯	臨	7	臨	7
0878	佛說俱枳羅陀羅尼經	1	法賢 譯	臨	8	臨	8
0880	佛說妙色陀羅尼經	1	法賢 譯	臨	8	臨	8
0881	佛說栴檀香身陀羅尼經	1	法賢 譯	臨	8	臨	8
0882	佛說鉢蘭那賒嚩哩大陀羅尼經	1	法賢 譯	臨	8	臨	8
0883	佛說宿命智陀羅尼經	1	法賢 譯	臨	8	臨	8
0884	佛說慈氏菩薩誓願陀羅尼經	1	法賢 譯	臨	8	臨	8
0885	佛說滅除五逆罪大陀羅尼經	1	法賢 譯	臨	8	臨	8
0886	佛說無量功德陀羅尼經	1	法賢 譯	臨	8	臨	8
0887	佛說十八臂陀羅尼經	1	法賢 譯	臨	8	臨	8
0888	佛說洛叉陀羅尼經	1	法賢 譯	臨	8	臨	8
0889	佛說辟除諸惡陀羅尼經	1	法賢 譯	臨	8	臨	8
0890	佛說大愛陀羅尼經	1	法賢 譯	臨	9	臨	9
0891	佛說阿羅漢具德經	1	法賢 譯	臨	9	臨	9
0892	佛說八大靈塔名號經	1	法賢 譯	臨	9	臨	9
0893	佛說尊那經	1	法賢 譯	臨	9	臨	9
0895	佛說人仙經	1	法賢 譯	臨	10	臨	10
0896	佛說舊城喻經	1	法賢 譯	臨	10	臨	10
0897	佛說信解智力經	1	法賢 譯	臨	10	臨	10
0898	大正句王經		法賢 譯	深	1	深	1
0899	佛說善樂長者經	1	法賢 譯	深	2	深	2
0900	佛說聖多羅菩薩經	1	法賢 譯	深	2	深	2
0901	佛說大吉祥陀羅尼經	1	法賢 譯	深	2	深	2
0902	寶賢陀羅尼經	1	法賢 譯	深	2	深	2
0903	佛說秘密八名陀羅尼經	1	法賢 譯	深	2	深	2
0904	觀自在菩薩母陀羅尼經	1	法賢 譯	深	2	深	2
0905	佛說戒香經	1	法賢 譯	深	2	深	2
0906	佛說妙吉祥菩薩陀羅尼	1	法賢 譯	深	3	深	3
0907	佛說無量壽大智陀羅尼	1	法賢 譯	深	3	深	3
0908	佛說宿命陀羅尼	1	法賢 譯	深	3	深	3
0909	佛說慈氏菩薩陀羅尼	1	法賢 譯	深	3	深	3
0910	佛說虛空藏菩薩陀羅尼	1	法賢 譯	深	3	深	3
0911	寶授菩薩菩提行經	1	法賢 譯	深	3	深	3
0912	佛說延壽妙門陀羅尼經	1	法賢 譯	深	4	深	4
0913	一切如來名號陀羅尼經	1	法賢 譯	深	4	深	4
0914	佛說息除賊難陀羅尼經	1	法賢 譯	深	4	深	4
0915	佛說法身經	1	法賢 譯	深	4	深	4
0916	信佛功德經	1	法賢 譯	深	4	深	4
0917	佛說解夏經	1	法賢 譯	深	5	深	5
0918	佛說帝釋所問經	1	法賢 譯	深	5	深	5
0919	佛說未曾有正法經	6	法天 譯	深	6	深	8
0920	佛說大方廣善巧方便經	4	施護 譯	深	9	深	10
0921	佛母出生三法藏般若波羅密多經	25	施護 譯	履	1	薄	4
0922	佛說決定義經	1	法賢 譯	薄	5	薄	5
0923	佛說護國經	1	法賢 譯	薄	5	薄	5
0924	佛說分別布施經	1	施護 譯	薄	6	薄	6
0925	佛說分別緣生經	1	法天 譯	薄	6	薄	6
0926	佛說法印經	1	施護 譯	薄	6	薄	6
0927	佛說大生義經	1	施護 譯	薄	6	薄	6
0928	佛說發菩提心破諸魔經		施護 譯	薄	7	薄	7
0929	佛說聖佛母般若波羅蜜多經	1	施護 譯	薄	7	薄	7
0931	佛說給孤獨長者女得度因緣經		施護 譯	薄	9	薄	9
0932	佛說大集法門經		施護 譯	薄	10	薄	10
0933	佛說光明童子因緣經	4	施護 譯	夙	1	夙	2
0934	佛說寶帶陀羅尼經	1	施護 譯	夙	3	夙	3
0935	佛說金身陀羅尼經	1	施護 譯	夙	3	夙	3
0936	佛說入無分別法門經	1	施護 譯	夙	3	夙	3
0937	佛說淨意憂婆塞所問經	1	施護 譯	夙	3	夙	3
0938	佛說金剛場莊嚴般若波羅蜜多教中一分	1	施護 譯	夙	4	夙	4
0939	佛說息諍因緣經	1	施護 譯	夙	4	夙	4
0940	佛說初分說經		施護 譯	夙	5	夙	5
0942	佛說月喻經	1	施護 譯	夙	6	夙	6
0943	佛說醫喻經	1	施護 譯	夙	6	夙	6
0944	佛說灌頂王喻經	1	施護 譯	夙	6	夙	6
0945	佛說尼拘陀梵志經		施護 譯	夙	7	夙	7
0946	佛說白衣金幢二婆羅門緣起經		施護 譯	夙	8	夙	8
0947	佛說福力太子因緣經		施護 譯	夙	9	夙	9
0948	佛說身毛喜[堅-土/立]經		惟淨 等譯	夙	10	夙	10
0949	大乘本生心地觀經	8	般若 等譯	興	1	興	8
0950	佛說出生無邊門陀羅尼經	1	不空 譯	興	9	興	9
0951	一切如來心秘密全身舍利寶篋印陀羅尼經	1	不空 譯	興	9	興	9
0952	佛說大吉祥天女十二名號經	1	不空 譯	興	9	興	9
0953	佛說大吉祥天女十二契一百八名無垢大乘經	1	不空 譯	興	9	興	9
0954	佛說一切如來金剛壽命陀羅尼經	1	金剛智共智藏 譯	興	9	興	9
0955	佛說穰麌梨童女經	1	不空 譯	興	10	興	10
0956	佛說雨寶陀羅尼經	1	不空 譯	興	10	興	10
0957	慈氏菩薩所說大乘緣生稻杆喻經	1	不空 譯	興	10	興	10
0958	佛說除蓋障菩薩所問經	20	惟淨共法護 譯	溫	1	溫	8
0959	仁王護國般若波羅蜜多經	2	不空 譯	溫	9	溫	10
0960	穢迹金剛說神通大滿陀羅尼法術靈要門經	1	無能勝 譯	清	1	清	1
0961	穢迹金剛法禁百變法門經	1	阿質達霰 譯	清	1	清	1
0962	佛說大乘大方廣佛冠經		法護 等譯	清	1	清	1
0963	佛說八種長養功德經	1	法護 等譯	清	1	清	1
0964	大雲輪請雨經		不空 譯	清	2	清	2
0966	佛說大集會正法經	5	施護 譯	清	6	清	9
0967	葉衣觀自在菩薩經	1	不空 譯	清	10	清	10
0968	毗沙門天王經	1	不空 譯	清	10	清	10
0969	文殊問經字母品	1	不空 譯	清	10	清	10
0970	海意菩薩所問淨印法門經	9	惟淨共法護 譯	似	1	似	9
0971	佛說如幻三摩地無量印法門經		施護 等譯	似	10	似	10
0972	守護國界主陀羅尼經	10	般若 等譯	蘭	1	蘭	10
0973	佛說三十五佛名禮懺文	1	不空 譯	斯	1	斯	1
0974	觀自在菩薩說普賢陀羅尼經	1	不空 譯	斯	1	斯	1
0975	佛說八大菩薩曼荼羅經	1	不空 譯	斯	1	斯	1
0976	佛說能淨一切眼疾病陀羅尼經	1	不空 譯	斯	1	斯	1
0977	佛說除一切疾病陀羅尼經	1	不空 譯	斯	1	斯	1
0978	佛說救拔焰口餓鬼陀羅尼經	1	不空 譯	斯	1	斯	1
0979	瑜伽集要救阿難陀羅尼焰口儀軌經	1	不空 譯	斯	2	斯	2
0980	佛說蟻喻經	1	施護 譯	斯	3	斯	3
0981	聖觀自在菩薩不空王秘密心陀羅尼經	1	施護 等譯	斯	3	斯	3
0982	佛說勝軍王所問經	1	施護 譯	斯	4	斯	4
0983	佛說輪王七寶經	1	施護 譯	斯	4	斯	4
0984	佛說園生樹經	1	施護 譯	斯	4	斯	4
0985	佛說了義般若波羅蜜多經	1	施護 譯	斯	4	斯	4
0986	佛說大方廣未曾有經善巧方便品	1	施護 譯	斯	4	斯	4
0987	佛說大堅固婆羅門緣起經		施護 等譯	斯	5	斯	5
0989	佛說妙吉祥菩薩所問大乘法螺經	1	法賢 譯	斯	7	斯	7
0990	佛說四品法門經	1	法賢 譯	斯	7	斯	7
0991	佛說八大菩薩經	1	法賢 譯	斯	7	斯	7
0992	佛說施一切無畏陀羅尼經	1	法護 譯	斯	7	斯	7
0993	聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經	1	施護 等譯	斯	7	斯	7
0994	佛說一髻尊陀羅尼經	1	不空 譯	斯	8	斯	8
0995	金剛摧碎陀羅尼	1	慈賢 譯	斯	8	斯	8
0996	不空罥索毗盧遮那佛大灌頂真言經	1	不空 譯	斯	8	斯	8
0997	地藏菩薩本願經	2	實叉難陀 譯	斯	9	斯	10
0998	大乘理趣六波羅蜜多經	10	般若 譯	馨	1	馨	10
0999	佛說大乘菩薩藏正法經	40	施護 等譯	如	1	松	10
1000	佛為優填王說王法政論經	1	不空 譯	之	1	之	1
1001	佛說五大施經	1	施護 等譯	之	1	之	1
1002	佛說無畏陀羅尼經	1	法賢 譯	之	1	之	1
1003	佛說大威德金輪佛頂熾盛光如來消除一切灾難陀羅尼經	1	失譯人名附唐錄	之	1	之	1
1004	佛說熾盛光大威德消灾吉祥陀羅尼經	1	不空 譯	之	1	之	1
1005	佛說頂生王因緣經	6	施護 譯	之	2	之	3
1006	佛說大乘隨轉宣說諸法經		紹德 等譯	之	4	之	4
1007	佛說大乘入諸佛境界智光明莊嚴經	5	惟淨共法護 譯	之	5	之	6
1008	佛說大乘智印經	5	智吉祥 等譯	之	7	之	8
1009	佛說法乘義決定經		總持 等譯	之	9	之	9
1010	佛說大白傘蓋總持陀羅尼經	1	真智 等譯	之	10	之	10
1011	佛說一切如來真實攝大乘現證三昧大教王經	30	施護 譯	盛	1	川	7
1012	一切如來大秘密王未曾有最上微妙大曼拿羅經	5	天息灾 譯	川	8	川	10
1013	出生一切如來法眼遍照大力明王經		法護 譯	流	1	流	1
1014	金剛頂一切如來真實攝大乘現證大教王經	3	不空 譯	流	2	流	4
1015	阿唎多羅陀羅尼阿嚕力經	1	不空 譯	流	5	流	5
1016	佛說瑜伽大教王經	5	法賢 譯	流	6	流	10
1017	一字奇特佛頂經	3	不空 譯	不	1	不	3
1018	菩提場所說一字頂輪王經	5	不空 譯	不	4	不	8
1019	菩提場莊嚴陀羅尼經	1	不空 譯	不	9	不	9
1020	佛說秘密相經		施護 等譯	不	10	不	10
1021	佛說一切如來金剛三業最上秘密大教王經	7	施護 譯	息	1	息	7
1022	大寶廣博樓閣善住秘密陀羅尼經	3	不空 譯	息	8	息	10
1024	佛說無二平等最上瑜伽大教王經	6	施護 譯	淵	5	淵	7
1025	佛說金剛手菩薩降伏一切部多大教王經	3	法天 譯	淵	8	淵	10
1026	聖妙吉祥真實名經	1	智慧 譯	澄	1	澄	1
1027	金剛頂瑜伽理趣般若經	1	金剛智 譯	澄	2	澄	2
