編號	經名	總卷數	作譯者	千字文首	千字文首冊數	千字文尾	千字文尾冊數
1028	大樂金剛不空真實三耶般若波羅蜜多理趣經	1	不空 譯	澄	2	澄	2
1029	佛說佛母般若波羅蜜多大明觀想儀軌經	1	施護 譯	澄	2	澄	2
1030	金剛頂瑜伽念珠經	1	不空 譯	澄	2	澄	2
1031	佛說最上根本大樂金剛不空三昧大教王經	7	法賢 譯	澄	3	澄	9
1032	佛說最上秘密那拿天經		法賢 譯	澄	10	澄	10
1033	金剛峰樓閣一切瑜伽瑜祗經	2	金剛智 譯	取	1	取	2
1034	佛說妙吉祥最勝根本大教經	3	法賢 譯	取	3	取	4
1035	妙吉祥平等秘密最上觀門大教王經	5	慈賢 譯	取	5	取	8
1036	普遍光明焰鬘清淨熾盛如意寶印心無能勝大明王大隨求陀羅尼經	2	不空 譯	取	9	取	10
1037	佛說如來不思議秘密大乘經	20	惟淨法護 等譯	映	1	映	10
1039	佛說聖寶藏神儀軌經		法天 譯	止	1	止	1
1040	佛說寶藏神大明曼拿羅儀軌經		法天 譯	止	2	止	2
1041	金剛恐怖集會方廣軌儀觀自在菩薩三世最勝心明王經	1	不空 譯	止	3	止	3
1042	金剛恐怖集會方廣軌儀觀自在菩薩三世最勝心明王大威力烏樞瑟摩明王經	3	阿質達霰 譯	止	4	止	6
1043	佛說大乘觀想曼拿羅淨諸惡趣經		法賢 譯	止	7	止	7
1044	佛說大方廣曼殊室利經觀自在多羅菩薩儀軌經	1	不空 譯	止	8	止	8
1045	佛說一切佛攝相應大教王經聖觀自在菩薩念誦儀軌經	1	法賢 譯	止	8	止	8
1046	瑜伽金剛頂經釋字母品	1	不空 譯	止	9	止	9
1047	佛說一切如來安像三昧儀軌經	1	施護 譯	止	9	止	9
1048	文殊師利菩薩根本大教王金翅鳥王品	1	不空 譯	止	9	止	9
1049	十一面觀自在菩薩心密言念誦儀軌經		不空 譯	止	10	止	10
1050	大方廣菩薩藏文殊師利根本儀軌經	20	天息灾 譯	若	1	若	10
1051	佛說持明藏瑜伽大教尊那菩薩大明成就儀軌經	4	法賢 譯	思	1	思	2
1052	佛說金剛香菩薩大明成就儀軌經	3	施護 譯	思	3	思	4
1053	金剛薩埵說頻那夜迦天成就儀軌經	4	法賢 譯	思	5	思	6
1054	佛說大悲空智金剛大教王儀軌經	5	法護 譯	思	7	思	9
1055	佛說幻化網瑜伽教十忿怒明王大明觀想儀軌經	1	法賢 譯	思	10	思	10
1056	佛說妙吉祥瑜伽大教金剛陪羅嚩輪觀想成就儀軌經	1	法賢 譯	言	1	言	1
1057	底哩三昧耶經不動尊威怒王使者念誦法	1	不空 譯	言	2	言	2
1058	聖迦柅忿怒金剛童子菩薩成就儀軌經	3	不空 譯	言	3	言	4
1059	七佛贊唄伽陀	1	法天 譯	言	5	言	5
1060	佛三身贊	1	法賢 譯	言	5	言	5
1061	佛一百八名贊經	1	法天 譯	言	5	言	5
1062	聖救度佛母二十一種禮贊經	1	安藏 譯	言	5	言	5
1063	佛說一切如來頂輪王一百八名贊經	1	施護 譯	言	5	言	5
1064	贊法界頌	1	施護 譯	言	6	言	6
1065	八大靈塔梵贊	1	法賢 譯	言	6	言	6
1066	三身梵贊	1	法賢 譯	言	6	言	6
1067	佛說文殊師利一百八名梵贊	1	法天 譯	言	6	言	6
1068	曼殊室利菩薩吉祥伽陀	1	法賢 譯	言	6	言	6
1069	聖金剛手菩薩一百八名梵贊	1	法賢 譯	言	6	言	6
1071	贊觀世音菩薩頌	1	慧智 譯	言	7	言	7
1072	佛說聖觀自在菩薩梵贊	1	法天 譯	言	7	言	7
1073	聖多羅菩薩梵贊	1	施護 譯	言	7	言	7
1074	事師法五十頌	1	日稱 譯	言	7	言	7
1075	犍椎梵贊	1	法天 譯	言	7	言	7
1076	佛說菩薩內戒經	1	求那跋摩 譯	言	8	言	8
1077	菩薩優婆塞五戒威儀經	1	求那跋摩 譯	言	9	言	9
1078	佛說文殊師利淨律經	1	竺法護 譯	言	10	言	10
1079	菩薩善戒經	10	求那跋摩 等譯	辭	1	辭	10
1080	菩薩地持經	8	曇無讖 譯	安	1	安	8
1081	佛說梵網經	2	鳩摩羅什 譯	安	9	安	10
1082	優婆塞戒經	7	曇無讖 譯	定	1	定	7
1083	寂調音所問經	1	法海 譯	定	8	定	8
1084	大乘三聚懺悔經	1	闍那崛多 等譯	定	9	定	9
1085	佛說文殊悔過經	1	竺法護 譯	定	10	定	10
1086	菩薩瓔珞本業經	2	竺佛念 譯	篤	1	篤	2
1087	佛說受十善戒經	1	失譯人名附後漢錄	篤	3	篤	3
1088	佛說淨業障經	1	失譯人名附秦錄	篤	4	篤	4
1089	佛藏經	4	鳩摩羅什 譯	篤	5	篤	8
1090	菩薩戒本經	1	曇無讖 譯	篤	9	篤	9
1091	菩薩戒羯磨文	1	玄奘 譯	篤	9	篤	9
1092	菩薩戒本	1	玄奘 譯	篤	10	篤	10
1093	佛說法律三昧經	1	支謙 譯	初	1	初	1
1094	佛說十善業道經	1	實叉難陀 譯	初	1	初	1
1095	清淨毗尼方廣經	1	鳩摩羅什 譯	初	2	初	2
1096	菩薩五法懺悔經	1	失譯人名附梁錄	初	3	初	3
1097	菩薩藏經	1	僧伽婆羅 譯	初	3	初	3
1098	三曼陀颰陀羅菩薩經	1	聶道真 譯	初	4	初	4
1099	菩薩受齋經	1	聶道真 譯	初	4	初	4
1100	舍利弗悔過經	1	安世高 譯	初	4	初	4
1101	佛阿毗曇經	2	真諦 譯	初	5	初	6
1102	解脫戒本經	1	般若流支 譯	初	7	初	7
1103	優波離問經	1	求那跋摩 譯	初	8	初	8
1104	根本說一切有部戒經	1	義淨 譯	初	9	初	9
1105	佛說迦葉禁戒經	1	沮渠京聲 譯	初	10	初	10
1106	佛說犯戒罪輕重經	1	安世高 譯	初	10	初	10
1107	佛說戒消灾經	1	支謙 譯	初	10	初	10
1108	佛說優婆塞五戒相經	1	求那跋摩 譯	初	10	初	10
1109	十誦律	58	鳩摩羅什 譯	誠	1	榮	5
1110	尼羯磨	5	懷素 集	榮	6	榮	10
1112	根本說一切有部毗奈耶	50	義淨 譯	竟	1	仕	10
1113	摩訶僧祇律	46	佛陀跋陀羅共法顯 譯	攝	1	存	6
1114	曇無德部四分律刪補隨機羯磨	4	道宣 撰	存	7	存	10
1115	根本說一切有部毗奈耶雜事	40	義淨 譯	以	1	去	10
1116	彌沙塞部五分律	30	佛陀什共竺道生 譯	而	1	咏	10
1117	根本說一切有部毗奈耶破僧事	20	義淨 譯	樂	1	殊	10
1118	根本說一切有部苾刍尼毗奈耶	20	義淨 譯	貴	1	賤	10
1119	善見毗婆沙律	18	僧伽跋陀羅 譯	禮	1	別	8
1120	大比丘三千威儀	2	安世高 譯	別	9	別	10
1121	根本薩婆多部律攝	14	義淨 譯	尊	1	卑	4
1122	四分僧羯磨	5	懷素 集	卑	5	卑	9
1123	四分比丘尼羯磨法	1	求那跋摩 譯	卑	10	卑	10
1124	戒因緣經	10	竺佛念 譯	上	1	上	10
1125	根本說一切有部百一羯磨	10	義淨 譯	和	1	和	10
1126	薩婆多部毗尼摩得勒伽	10	僧伽跋摩 譯	下	1	下	10
1127	根本說一切有部尼陀那	5	義淨 譯	睦	1	睦	5
1128	根本說一切有部目得迦	5	義淨 譯	睦	6	睦	10
1129	薩婆多毗尼毗婆沙	8	失譯人名附秦錄	夫	1	夫	8
1130	續薩婆多毗尼毗婆沙	1	失譯人名附秦錄	夫	9	夫	9
1131	根本說一切有部出家授近圓羯磨儀軌	1	拔合思巴 集	夫	10	夫	10
1132	毗尼母論	8	失譯人名附秦錄	唱	1	唱	8
1133	律二十二明了論	1	真諦 譯	唱	9	唱	9
1134	根本說一切有部毗奈耶尼陀那目得迦攝頌	1	義淨 譯	唱	10	唱	10
1135	根本說一切有部毗奈耶雜事攝頌	1	義淨 譯	唱	10	唱	10
1136	普賢菩薩行願贊	1	不空 譯	唱	10	唱	10
1137	根本說一切有部毗奈耶頌	4	義淨 譯	婦	1	婦	4
1138	十誦律毗尼序	3	卑摩羅叉 譯	婦	5	婦	7
1139	沙彌十戒法并威儀	1	失譯人名附東晉錄	婦	8	婦	8
1140	羯磨	2	曇諦 集譯	婦	9	婦	10
1141	佛說大愛道比丘尼經	2	失譯人名附北涼錄	隨	1	隨	2
1142	佛說目連問戒律中五百輕重事經	2	失譯人名附東晉錄	隨	3	隨	4
1143	根本說一切有部苾刍尼戒經	2	義淨 譯	隨	5	隨	6
1144	比丘尼僧祇律波羅提木叉戒經	1	法顯共覺賢 譯	隨	7	隨	7
1145	沙彌尼戒經	1	失譯人名附後漢錄	隨	8	隨	8
1146	舍利弗問經	1	失譯人名附東晉錄	隨	8	隨	8
1147	彌沙塞羯磨本	2	愛同 錄	隨	9	隨	10
1148	四分戒本	2	懷素 集	外	1	外	2
1149	四分比丘尼戒本	2	懷素 依律集出	外	3	外	4
1150	五分戒本	1	佛陀什 譯	外	5	外	5
1151	五分比丘尼戒本	1	明徽 集	外	6	外	6
1152	波羅提木叉僧祇戒本	1	佛陀跋陀羅 譯	外	7	外	7
1153	十誦律比丘戒本	1	鳩摩羅什 譯	外	8	外	8
1154	十誦律比丘尼戒本	1	法穎 集出	外	9	外	9
1156	曇無德律部雜羯磨	2	康僧鎧 譯集	受	1	受	2
1157	沙彌威儀	1	求那跋摩 譯	受	3	受	3
1158	沙彌尼離戒文	1	失譯人名附東晉錄	受	3	受	3
1159	十誦羯磨比丘要用	1	僧璩 依律撰出	受	4	受	4
1160	金剛般若波羅蜜經論	3	達摩笈多 譯	受	5	受	7
1161	金剛般若波羅蜜經論	3	菩提留支 譯	受	8	受	10
1162	大智度論	100	鳩摩羅什 譯	傅	1	叔	10
1163	瑜伽師地論	100	玄奘 譯	猶	1	氣	10
1164	攝大乘論釋	48	真諦 等四譯	連	1	投	8
1165	無相思塵論	1	真諦 譯	投	9	投	9
1166	觀所緣緣論	1	玄奘 譯	投	9	投	9
1167	觀所緣緣論釋	1	義淨 譯	投	9	投	9
1168	大乘廣五蘊論	1	地婆訶羅 譯	投	10	投	10
1169	大乘五蘊論	1	玄奘 譯	投	10	投	10
1170	顯揚聖教論	20	玄奘 譯	分	1	初	10
1171	大乘阿毗達磨雜集論	16	玄奘 譯	磨	1	箴	6
1172	中論	4	鳩摩羅什 譯	箴	7	箴	10
1173	十住毗婆沙論	15	鳩摩羅什 譯	規	1	仁	5
1174	菩提資糧論	6	達摩笈多 譯	仁	6	仁	10
1175	大莊嚴經論	15	鳩摩羅什 譯	慈	1	隱	5
1176b	攝大乘論	2	佛陀扇多 譯	隱	9	隱	10
1177	般若燈論	15	波羅頗迦羅蜜多羅 譯	惻	1	造	5
1178	十二門論	1	鳩摩羅什 譯	造	6	造	6
1179	十八空論	1	真諦 譯	造	7	造	7
1180	百論	2	鳩摩羅什 譯	造	8	造	9
1181	廣百論本	1	玄奘 譯	造	10	造	10
1182	大乘莊嚴經論	13	波羅頗迦羅蜜多羅 譯	次	1	弗	3
1183	文殊師利菩薩問菩提經論	2	菩提留支 譯	弗	4	弗	5
1184	金剛般若波羅蜜經破取著不壞假名論	2	地婆訶羅 譯	弗	6	弗	7
1185	勝思惟梵天所問經論	3	菩提留支 譯	弗	8	弗	10
1186	十地經論	12	菩提留支 譯	離	1	節	2
1187	佛地經論	7	玄奘 譯	節	3	節	9
1188	三具足經優波提舍	1	毗目智仙 等譯	節	10	節	10
1190	廣百論釋論	10	玄奘 譯	廉	1	廉	10
1191	大乘阿毗達磨集論	7	玄奘 譯	退	1	退	7
1192	王法正理論	1	玄奘 譯	退	8	退	8
1193	瑜伽師地論釋	1	玄奘 譯	退	9	退	9
1194	顯揚聖教論頌	1	玄奘 譯	退	10	退	10
1195	彌勒菩薩所問經論	7	菩提留支 譯	顛	1	顛	7
1196	無量壽經優波提舍	1	菩提留支 譯	顛	8	顛	8
1197	轉法輪經優波提舍	1	毗目智仙 等譯	顛	8	顛	8
1198	大般涅盤經論	1	達磨菩提 譯	顛	9	顛	9
1199	涅盤經本有今無偈論	1	真諦 譯	顛	9	顛	9
1200	能斷金剛般若波羅蜜多經論頌	1	義淨 譯	顛	9	顛	9
1201	遺教經論	1	真諦 譯	顛	10	顛	10
1202	成唯識寶生論	4	義淨 譯	沛	1	沛	4
1203	十二因緣論	1	菩提流支 譯	沛	5	沛	5
1204	壹輸盧迦論	1	般若流支 譯	沛	5	沛	5
1205	大乘百法明門論	1	玄奘 譯	沛	5	沛	5
1206	轉識論	1	真諦 譯	沛	5	沛	5
1207	唯識三十論	1	玄奘 譯	沛	6	沛	6
1208	因明入正理論	1	玄奘 譯	沛	6	沛	6
1209	顯識論	1	真諦 譯	沛	6	沛	6
1210	發菩提心論	2	鳩摩羅什 譯	沛	7	沛	8
1211	三無性論	2	真諦 譯	沛	9	沛	10
1212	佛性論	4	真諦 譯	匪	1	匪	4
1213	大乘成業論	1	玄奘 譯	匪	5	匪	5
1214	業成就論	1	毗目智仙 譯	匪	6	匪	6
1215	因明正理門論	1	義淨 譯	匪	7	匪	7
1216	因明正理門論本	1	玄奘 譯	匪	8	匪	8
1217	止觀門論頌	1	義淨 譯	匪	9	匪	9
1218	手杖論	1	義淨 譯	匪	9	匪	9
1219	緣生論	1	達摩笈多 譯	匪	9	匪	9
1220	取因假設論	1	義淨 譯	匪	10	匪	10
1222	六門教授習定論	1	義淨 譯	匪	10	匪	10
1223	能斷金剛般若波羅蜜多經論釋	2	義淨 譯	虧	1	虧	2
1224	略明般若末後一頌贊	1	義淨 術	虧	2	虧	2
1225	妙法蓮華經優波提舍	2	菩提留支共曇林 等譯	虧	3	虧	4
1226	妙法蓮華經論優波提舍	2	勒那摩提共僧朗 譯	虧	5	虧	6
1227	大寶積經論	4	菩提留支 譯	虧	7	虧	10
1228	決定藏論	3	真諦 譯	性	1	性	3
1229	究竟一乘寶性論	5	勒那摩提 譯	性	4	性	8
1230	大乘掌珍論	2	玄奘 譯	性	9	性	10
1231	大乘楞伽經唯識論	1	菩提流支 譯	靜	1	靜	1
1232	大乘唯識論	1	真諦 譯	靜	2	靜	2
1233	唯識二十論	1	玄奘 譯	靜	2	靜	2
1234	寶髻經四法優波提舍	1	毗目智仙 等譯	靜	3	靜	3
1235	大丈夫論	2	道泰 譯	靜	4	靜	5
1236	入大乘論	2	道泰 譯	靜	6	靜	7
1237	辯中邊論	3	玄奘 譯	靜	8	靜	10
1238	辯中邊論頌	1	玄奘 譯	靜	10	靜	10
1239	順中論	2	般若流支 譯	情	1	情	2
1240	攝大乘論本	3	玄奘 譯	情	3	情	5
1241	中邊分別論	2	真諦 譯	情	6	情	7
1242	大乘起信論	3	唐實叉難陀梁真諦二譯	情	8	情	10
1244	如實論	1	真諦 譯	逸	2	逸	2
1245	寶行王正論	1	真諦 譯	逸	3	逸	3
1246	百字論	1	菩提流支 譯	逸	4	逸	4
1247	解拳論	1	真諦 譯	逸	4	逸	4
1248	掌中論	1	義淨 譯	逸	4	逸	4
1249	方便心論	1	吉迦夜共曇曜 譯	逸	5	逸	5
1250	大乘法界無差別論	1	提雲般若 等譯	逸	6	逸	6
1251	提婆菩薩破楞伽經中外道小乘四宗論	1	菩提流支 譯	逸	6	逸	6
1252	提婆菩薩釋楞伽經中外道小乘涅盤論	1	菩提流支 譯	逸	6	逸	6
1253	四諦論	4	真諦 譯	逸	7	逸	9
1254	辟支佛因緣論	1	失譯人名附秦錄	逸	10	逸	10
1255	阿毗達磨大毗婆沙論	200	玄奘 譯	心	1	縻	10
1256	阿毗曇毗婆沙論	82	浮陀跋摩共道泰 譯	都	1	京	10
1257	阿毗達磨順正理論	80	玄奘 譯	背	1	涇	10
1258	阿毗達磨藏顯宗論	40	玄奘 譯	宮	1	鬱	10
1259	阿毗達磨俱舍論	30	玄奘 譯	樓	1	飛	10
1260	舍利弗阿毗曇論	30	曇摩耶舍共曇摩崛多 譯	驚	1	寫	10
1261	阿毗達磨俱舍釋論	22	真諦 譯	禽	1	畫	2
1262	阿毗達磨俱舍論本頌	2	玄奘 譯	畫	3	畫	4
1263	三法度論	3	僧伽提婆共慧遠 譯	畫	5	畫	7
1264	三彌底部論	3	失譯人名附三秦錄	畫	8	畫	10
1265	阿毗曇八犍度論	30	僧伽提婆共竺佛念 譯	彩	1	靈	10
1266	成實論	20	鳩摩羅什 譯	丙	1	舍	10
1267	阿毗達磨發智論	20	玄奘 譯	傍	1	啟	10
1268	阿毗達磨集[巳/廾]門足論	20	玄奘 譯	甲	1	帳	10
1269	阿毗達磨品類足論	18	玄奘 譯	對	1	楹	8
1270	阿毗曇甘露味論	2	失譯人名附曹魏錄	楹	9	楹	10
1271	鞞婆沙論	18	僧伽跋澄 譯	肆	1	筵	8
1272	隨相論	2	真諦 譯	筵	9	筵	10
1273	阿毗達磨識身足論	16	玄奘 譯	設	1	席	6
1274	阿毗達磨界身足論	2	玄奘 譯	席	7	席	8
1276	十八部論	1	失譯人名	席	10	席	10
1277	部執[巳/廾]論	1	真諦 譯	席	10	席	10
1278	[巳/廾]部宗輪論	1	玄奘 譯	席	10	席	10
1279	雜阿毗曇心論	16	僧伽跋摩 譯	鼓	1	瑟	6
1280	阿毗曇心論	4	僧伽提婆共慧遠 譯	瑟	7	瑟	10
1281	尊婆須蜜菩薩所集論	15	僧伽跋澄 等譯	吹	1	笙	5
1282	分別功德論	3	失譯人名附後漢錄	笙	6	笙	8
1283	入阿毗達磨論	2	玄奘 譯	笙	9	笙	10
1284	眾事分阿毗曇論	12	求那跋陀羅共菩提耶舍 譯	升	1	階	2
1285	解脫道論	12	僧伽婆羅 譯	階	3	納	3
1286	法勝阿毗曇心論	6	那連提黎耶舍 譯	納	4	納	9
1287	勝宗十句義論	1	玄奘 譯	納	10	納	10
1288	阿毗達磨法蘊足論	10	玄奘 譯	陛	1	陛	10
1289	立世阿毗曇論	10	真諦 譯	弁	1	弁	10
1290	大乘集菩薩學論	25	法護共日稱 譯	轉	1	疑	1
1291	大宗地玄文本論	8	真諦 譯	疑	2	疑	5
1292	金七十論	3	真諦 譯	疑	6	疑	8
1293	廣釋菩提心論	4	施護 等譯	疑	9	疑	10
1294	集諸法寶最上義論		施護 譯	星	1	星	1
1295	金剛針論	1	法天 譯	星	2	星	2
1296	菩提心離相論	1	施護 譯	星	2	星	2
1297	大乘破有論	1	施護 譯	星	3	星	3
1298	集大乘相論	1	施護 譯	星	3	星	3
1299	六十頌如理論	1	施護 譯	星	3	星	3
1300	大乘二十頌論	1	施護 譯	星	3	星	3
1301	佛母般若波羅蜜多圓集要義論	1	施護 譯	星	3	星	3
1302	佛母般若波羅蜜多圓集要義釋論	4	施護 等譯	星	4	星	5
1303	大乘寶要義論	10	法護惟淨 等譯	星	6	星	10
1304	菩薩本生鬘論	16	紹德慧詢 等譯	右	1	右	9
1305	聖佛母般若波羅蜜多九頌精義論	1	法護 譯	右	10	右	10
1306	大乘緣生論	1	不空 譯	右	10	右	10
1307	諸教決定名義論	1	施護 譯	右	10	右	10
1308	大乘中觀釋論	9	惟淨 等譯	通	1	通	4
1309	施設論	7	法護 譯	通	5	通	7
1310	大乘法界無差別論	1	提雲般若 譯	通	8	通	8
1311	金剛頂瑜伽中發阿耨多羅三藐三菩提心論	1	不空 譯	通	8	通	8
1312	彰所知論	2	元 發合思巴 造　沙羅巴 譯　	通	9	通	10
1313	出曜經	20	竺佛念 譯	廣	1	內	10
1314	賢愚因緣經	13	慧覺共威德 譯	左	1	達	3
1315	佛本行經	7	寶雲 譯	達	4	達	10
1316	撰集百緣經	10	支謙 譯	承	1	承	10
1317	修行道地經	8	竺法護 譯	明	1	明	8
1318	道地經	1	安世高 譯	明	9	明	9
1320	惟日雜難經	1	支謙 譯	明	10	明	10
1321	雜寶藏經	8	吉迦夜共曇曜 譯	既	1	既	8
1322	迦葉赴佛般涅盤經	1	曇無蘭 譯	既	9	既	9
1323	瑜伽翳迦訖沙羅烏瑟尼沙斫訖羅真言安怛陀那儀則一字頂輪王瑜伽經	1	不空 譯	既	9	既	9
1324	佛入涅盤密[迦-加+亦]金剛力士哀戀經	1	失譯人名附秦錄	既	9	既	9
1325	佛使比丘迦旃延說法沒盡偈經	1	失譯人名附西晉錄	既	9	既	9
1326	佛說佛治身經	1	失譯人名附西晉錄	既	9	既	9
1327	治意經	1	失譯人名附西晉錄	既	9	既	9
1328	文殊師利發願經	1	佛陀跋陀羅 譯	既	10	既	10
1329	六菩薩名亦當誦持經	1	失譯人名附後漢錄	既	10	既	10
1330	小道地經	1	支曜 譯	既	10	既	10
1331	阿含口解十二因緣經	1	安玄共嚴佛調 譯	既	10	既	10
1332	付法藏因緣經	6	吉迦夜共曇曜 譯	集	1	集	6
1333	達磨多羅禪經	2	佛陀跋陀羅 譯	集	7	集	8
1334	禪法要解經	2	鳩摩羅什 譯	集	9	集	10
1335	阿育王經	10	僧伽婆羅 譯	墳	1	墳	6
1336	阿育王譬喻經	1	失譯人名附東晉錄	墳	7	墳	7
1337	三慧經	1	失譯人名附北凉錄	墳	7	墳	7
1338	阿毗曇五法行經	1	安世高 譯	墳	7	墳	7
1339	賓頭盧突羅闍為優陀延王說法緣經	1	求那跋陀羅 譯	墳	8	墳	8
1340	請賓頭盧經	1	慧簡 譯	墳	8	墳	8
1341	大勇菩薩分別業報略經	1	僧伽跋摩 譯	墳	8	墳	8
1342	坐禪三昧法門經	2	鳩摩羅什 譯	墳	9	墳	10
1343	佛所行贊經	5	曇無讖 譯	典	1	典	5
1344	僧伽羅剎所集佛行經	5	僧伽跋澄 譯	典	6	典	10
1345	法句譬喻經	4	法炬共法立 譯	亦	1	亦	4
1346	菩提行經	4	天息灾 譯	亦	5	亦	6
1347	金剛頂一切如來真實攝大乘現證大教王經	2	不空 譯	亦	7	亦	8
1348	文殊菩薩及諸仙所說吉凶時日善惡宿曜經	2	不空 譯	亦	9	亦	10
1349	僧伽斯那所撰菩薩本緣經	4	支謙 譯	聚	1	聚	4
1350	那先比丘經	3	失譯人名附東晉錄	聚	5	聚	7
1352	禪要訶欲經	1	失譯人名附後漢錄	聚	10	聚	10
1353	內身觀章句經	1	失譯人名附後漢錄	聚	10	聚	10
1354	法觀經	1	竺法護 譯	聚	10	聚	10
1355	迦葉結經	1	安世高 譯	聚	10	聚	10
1356	百喻經	2	求那毗地 譯	群	1	群	2
1357	法句經	2	維只難 等譯	群	3	群	4
1358	眾經撰雜譬喻經	2	鳩摩羅什 譯	群	5	群	6
1359	阿育王子法益壞目因緣經	1	曇摩難提 譯	群	7	群	7
1360	雜譬喻經		失譯人名附後漢錄	群	8	群	8
1362	文殊所說最勝名義經		金總持 等譯	群	10	群	10
1363	迦丁比丘說當來變經	1	失譯人名附劉宋錄	英	1	英	1
1364	雜譬喻經	1	支婁迦讖 譯	英	1	英	1
1365	思惟要略法	1	鳩摩羅什 譯	英	2	英	2
1366	十二游經	1	迦留陀伽 譯	英	2	英	2
1367	賢聖集伽陀一百頌	1	天息灾 譯	英	3	英	3
1368	廣大發願頌	1	施護 等譯	英	3	英	3
1369	無能勝大明陀羅尼經	1	法天 譯	英	3	英	3
1370	無能勝大明心陀羅尼經	1	法天 譯	英	3	英	3
1371	十不善業道經	1	日稱 等譯	英	3	英	3
1372	大乘修行菩薩行門諸經要集	3	智嚴 譯	英	4	英	6
